"1789-Washington" "1793-Washington" "1797-Adams" "1801-Jefferson" "1805-Jefferson" "1809-Madison" "1813-Madison" "1817-Monroe" "1821-Monroe" "1825-Adams" "1829-Jackson" "1833-Jackson" "1837-VanBuren" "1841-Harrison" "1845-Polk" "1849-Taylor" "1853-Pierce" "1857-Buchanan" "1861-Lincoln" "1865-Lincoln" "1869-Grant" "1873-Grant" "1877-Hayes" "1881-Garfield" "1885-Cleveland" "1889-Harrison" "1893-Cleveland" "1897-McKinley" "1901-McKinley" "1905-Roosevelt" "1909-Taft" "1913-Wilson" "1917-Wilson" "1921-Harding" "1925-Coolidge" "1929-Hoover" "1933-Roosevelt" "1937-Roosevelt" "1941-Roosevelt" "1945-Roosevelt" "1949-Truman" "1953-Eisenhower" "1957-Eisenhower" "1961-Kennedy" "1965-Johnson" "1969-Nixon" "1973-Nixon" "1977-Carter" "1981-Reagan" "1985-Reagan" "1989-Bush" "1993-Clinton" "1997-Clinton" "2001-Bush" "2005-Bush" "2009-Obama" "2013-Obama" "2017-Trump" "2021-Biden" "2025-Trump"
"execut" 4 2 3 1 2 0 0 4 6 3 3 0 3 27 8 5 0 2 5 0 3 4 1 4 4 8 2 7 11 0 9 0 0 1 0 3 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 2
"nation" 4 0 24 4 6 10 7 18 14 21 6 2 10 9 13 3 18 12 10 4 9 6 12 20 7 14 8 7 12 9 13 7 14 18 21 23 15 12 17 1 27 11 18 8 13 9 15 15 12 11 12 5 15 14 13 15 9 13 16 23
"peopl" 4 1 20 2 0 1 3 15 11 7 4 9 20 38 16 3 6 13 20 0 2 7 9 21 18 29 22 25 12 6 7 2 8 12 16 18 8 11 9 2 21 18 15 2 9 15 6 7 9 17 7 12 11 1 7 8 11 10 9 8
"unit" 4 1 3 2 1 3 5 13 16 2 1 4 3 12 13 2 3 8 5 0 3 0 8 9 2 0 2 12 9 0 6 0 4 2 2 2 2 5 3 0 10 4 2 4 0 2 0 2 2 2 3 0 0 3 7 2 2 4 4 8
"sinc" 4 0 1 0 1 0 0 0 8 5 1 1 1 4 2 0 0 3 1 0 0 1 0 2 0 0 0 4 2 0 2 0 2 1 2 0 0 0 1 0 1 1 0 1 0 2 1 0 0 1 2 1 0 1 0 0 0 0 0 0
"natur" 3 0 1 1 2 0 3 4 0 3 1 0 3 0 3 0 0 3 2 0 0 0 0 0 0 2 1 2 0 0 2 2 0 1 5 0 2 1 0 0 1 2 0 0 2 1 2 1 0 0 0 0 1 0 1 0 0 0 0 1
"just" 3 0 1 1 3 2 1 10 5 2 3 2 7 4 7 2 4 2 0 2 1 0 2 0 1 6 3 2 1 2 5 1 3 3 0 1 0 1 1 1 3 2 0 1 1 1 6 5 3 1 3 1 2 2 3 4 5 1 5 3
"circumst" 3 0 0 0 1 2 0 3 5 1 0 1 5 7 1 0 3 0 3 0 0 1 2 0 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"care" 3 0 0 1 0 1 0 1 1 0 2 0 2 3 6 3 0 0 1 1 2 0 2 0 2 3 0 4 3 2 2 1 0 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 2 2 2 1 0 3 5 0 2 0
"shall" 3 3 4 6 7 0 0 6 6 4 6 3 5 10 11 15 9 18 17 5 1 3 4 8 10 18 4 12 7 2 12 6 9 8 2 4 7 5 1 7 5 11 2 5 3 4 7 0 1 2 0 1 2 0 0 3 0 0 2 0
"now" 1 2 0 1 3 1 3 0 6 3 1 3 5 5 4 2 3 7 15 2 8 3 6 9 0 5 3 10 10 2 5 3 4 1 2 0 3 3 0 1 6 0 3 2 5 9 1 3 5 10 1 5 6 2 4 6 5 6 5 9
"constitut" 2 2 9 3 6 1 0 8 0 12 3 5 6 45 19 6 13 17 34 1 3 1 9 19 8 14 4 3 4 0 5 0 0 2 7 1 4 2 2 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 3 2
"oath" 0 2 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 2 6 1 2 0 0 0 3 3 2 2 0 0 2 0 1 1 0 2 0 1 0 1 0 1 1 1 1 2 0 1 1 1 1 1 0 1 1 3 4 2 3 0
"voic" 2 1 1 1 0 0 1 0 0 1 0 0 0 0 0 1 2 1 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 1 0 0 3 1 0 1 0 1 0 0 9 0 0 0 2 1 2 1 0 1 0 1 1 0 1
"call" 2 1 1 3 3 1 3 3 3 2 1 2 2 7 0 3 3 1 1 1 0 3 2 0 1 3 1 2 0 1 4 1 0 7 0 2 2 2 1 0 0 3 3 4 2 2 0 0 5 2 2 5 1 6 2 2 1 0 3 1
"administr" 2 1 3 3 1 0 1 4 2 4 0 2 0 4 6 1 6 3 6 0 1 1 4 7 2 4 0 3 2 0 10 1 0 6 4 5 0 0 0 0 1 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 4
"instanc" 2 1 0 0 0 0 0 0 4 0 0 0 4 5 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confid" 2 1 1 4 2 3 2 2 4 3 1 3 10 12 3 3 5 1 2 0 0 0 1 1 2 2 5 3 1 2 0 0 1 7 2 3 2 1 0 1 1 1 1 0 0 1 3 2 0 1 0 1 0 1 3 2 0 1 0 3
"fellow" 2 1 0 5 8 0 0 0 9 3 2 3 6 0 4 0 0 1 0 0 0 0 4 0 2 0 1 1 0 1 2 0 2 0 1 0 2 0 0 2 1 2 0 4 4 2 1 0 3 3 2 5 7 1 3 1 3 1 5 1
"offici" 2 1 0 0 0 0 0 1 0 0 1 1 0 0 3 0 1 1 2 0 0 0 1 0 2 2 1 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"act" 1 1 0 0 4 0 0 1 3 0 1 1 1 12 3 0 5 2 4 0 0 2 2 1 1 2 0 0 4 2 2 0 0 0 2 1 3 0 2 0 0 2 1 0 0 0 5 0 5 2 3 2 0 2 5 1 6 0 3 2
"presid" 2 1 0 0 0 0 0 0 0 0 0 1 1 16 2 3 1 1 2 0 1 0 4 0 1 4 0 6 1 0 1 1 0 1 1 0 1 2 1 1 1 0 1 4 0 3 1 3 6 3 7 3 1 3 4 1 2 5 7 10
"state" 2 0 12 3 12 5 5 29 27 8 4 9 11 41 42 3 11 27 27 0 4 4 12 16 4 26 3 12 9 0 17 0 2 2 5 7 4 5 4 0 7 1 0 3 0 1 0 1 5 4 3 0 0 0 5 2 2 2 2 11
"foreign" 0 0 8 0 4 2 1 9 4 6 3 1 6 6 11 2 3 3 2 0 2 0 3 0 3 1 0 6 1 0 5 0 0 0 2 1 2 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 3 0 5
"honor" 2 1 7 2 1 3 4 4 3 1 2 0 4 3 5 3 2 1 0 0 2 1 2 1 0 5 1 3 6 0 2 0 0 0 2 0 1 0 0 3 1 5 7 0 0 2 1 1 0 1 0 0 0 2 5 1 0 0 3 3
"form" 1 0 7 4 0 0 1 6 2 3 1 0 5 11 7 0 2 5 3 0 0 0 2 1 3 1 1 2 1 1 4 1 0 0 1 2 3 0 3 1 2 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1
"good" 3 0 6 5 4 1 1 1 5 0 3 3 2 5 2 1 5 2 4 0 2 4 3 4 4 5 3 2 2 3 3 3 1 5 2 2 4 8 0 0 2 4 2 3 0 5 1 2 1 1 9 0 2 3 4 3 0 3 5 0
"mind" 1 0 6 2 4 1 0 2 0 2 2 1 1 4 3 0 2 2 1 0 1 0 1 0 0 0 2 1 0 0 1 2 2 3 3 2 1 1 5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 3 0 1 0 0
"power" 2 0 6 5 5 2 3 7 24 10 8 7 10 67 27 3 14 12 4 1 0 3 3 11 4 10 7 7 4 5 6 1 7 0 5 4 3 10 0 0 2 4 5 9 0 1 2 2 2 3 3 5 5 4 3 5 4 4 5 9
"legislatur" 0 0 6 0 0 0 0 2 0 2 1 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"justic" 0 0 6 1 4 2 3 1 2 4 0 1 2 3 2 0 1 3 3 0 0 0 2 1 2 6 1 2 2 2 3 8 2 5 8 14 0 1 0 1 6 0 6 1 6 1 1 1 1 1 2 0 1 3 6 0 2 1 5 5
"ever" 0 0 6 0 2 0 0 2 2 2 0 1 4 4 1 0 2 8 4 0 1 1 0 0 1 0 0 4 1 4 1 0 0 3 2 3 0 0 0 0 0 1 1 0 0 2 2 1 2 2 1 2 2 1 1 0 1 1 4 6
"congress" 0 0 6 0 0 0 0 0 5 1 2 0 1 11 3 4 0 9 5 0 1 1 1 9 0 8 0 18 9 0 14 0 0 1 2 3 4 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 0 1 0 1 0 0 0
"spirit" 0 0 6 0 2 2 4 0 6 1 1 1 7 20 3 1 4 4 0 0 0 1 1 0 3 3 1 3 3 3 0 1 5 4 0 2 3 3 9 0 0 1 1 0 1 6 2 6 0 2 0 1 5 3 0 5 1 1 0 4
"us" 1 0 2 10 7 2 1 14 6 4 2 4 12 10 4 4 9 0 0 3 5 2 5 6 4 7 10 6 8 12 3 5 8 9 8 4 6 5 8 1 5 11 2 12 12 20 26 8 25 27 13 13 27 11 3 23 21 2 27 2
"principl" 1 0 3 9 4 2 1 9 6 7 1 1 8 21 8 2 2 5 2 0 0 0 6 0 2 1 4 5 3 0 3 1 6 0 6 0 0 0 0 1 3 6 2 0 0 0 1 2 1 0 1 0 0 4 0 1 4 0 0 0
"right" 2 0 2 7 4 5 2 6 7 10 4 3 5 19 17 2 16 4 16 3 2 1 6 6 6 8 3 7 3 3 10 4 4 1 12 4 1 0 1 0 8 3 2 4 1 0 7 4 1 5 5 2 1 1 6 2 3 5 3 7
"let" 0 0 0 7 2 0 1 2 0 0 0 3 0 1 1 2 4 2 0 4 1 1 1 3 2 2 0 2 0 0 0 2 3 4 1 0 1 1 1 0 0 0 0 16 2 11 22 4 6 7 2 9 9 0 0 7 2 3 6 2
"peac" 0 0 5 6 4 4 0 6 10 9 2 3 2 1 12 1 3 6 3 1 0 1 8 2 3 7 0 5 8 3 4 0 6 7 16 16 0 4 0 6 16 12 11 5 0 13 19 2 2 8 4 2 1 2 2 4 5 1 5 1
"man" 0 0 0 6 2 0 1 0 0 2 0 0 0 3 3 0 2 3 1 1 1 1 0 1 2 4 1 0 0 1 2 2 1 2 3 2 0 0 1 0 4 6 1 4 10 10 0 1 6 4 5 0 1 0 1 3 0 0 0 0
"happi" 3 0 5 5 2 2 0 7 2 2 0 4 6 1 10 0 2 3 0 0 1 0 2 0 1 2 0 1 1 1 1 0 0 2 0 2 1 2 0 0 1 0 0 0 1 0 0 0 2 0 0 1 1 0 0 1 4 0 0 0
"opinion" 0 0 2 5 5 0 0 2 3 6 0 2 6 10 8 1 3 4 2 0 1 0 2 4 0 1 2 2 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"safeti" 0 0 0 5 2 0 1 1 0 0 0 1 1 2 5 0 1 1 0 0 0 0 0 1 2 1 1 2 2 0 2 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 2
"other" 0 0 0 5 4 2 1 0 1 0 0 0 1 9 3 0 2 1 3 0 1 1 0 0 0 3 0 1 1 2 1 1 0 1 3 0 1 0 0 0 1 3 3 0 2 0 5 2 2 1 4 2 1 1 3 0 1 0 0 0
"trust" 2 0 0 4 2 2 1 4 4 2 2 0 6 4 0 1 3 2 2 1 2 1 3 1 3 1 1 3 1 0 0 1 0 0 0 1 2 0 0 0 0 2 0 0 1 0 1 2 0 2 0 0 1 2 1 2 0 0 1 2
"interest" 1 0 5 0 9 3 0 12 6 7 3 2 8 14 16 6 5 2 1 3 3 2 10 5 8 10 5 7 1 0 11 1 6 2 2 1 0 1 0 0 1 0 0 0 1 0 0 1 2 0 0 1 2 4 2 2 1 1 1 1
"among" 1 0 4 1 7 0 1 3 1 3 1 1 3 3 6 1 0 2 6 1 1 0 1 1 2 4 2 3 2 1 9 0 0 3 3 4 0 5 0 0 2 3 1 0 3 1 1 2 4 2 0 1 0 0 1 0 1 0 0 0
"law" 0 0 2 4 7 1 0 2 6 3 2 1 3 7 11 2 5 4 27 0 7 1 8 16 4 25 6 16 5 0 22 4 0 7 11 20 0 0 0 0 2 5 6 1 0 3 1 3 0 1 0 1 1 2 2 1 2 1 0 3
"time" 1 0 3 0 6 1 0 5 8 6 1 2 7 11 5 1 7 7 5 1 0 3 7 6 4 4 1 6 3 0 8 1 3 1 4 3 5 3 2 1 4 5 6 2 4 7 7 5 9 13 9 7 13 7 8 6 11 2 4 5
"limit" 1 0 0 1 6 2 0 2 5 4 2 0 6 5 10 1 4 0 2 0 0 1 1 1 3 3 3 0 0 0 2 1 1 0 2 4 0 0 1 0 2 1 0 0 0 1 2 2 3 3 1 0 0 1 0 0 0 0 0 0
"reason" 0 0 0 3 6 2 1 0 5 0 0 0 3 1 6 0 3 2 3 1 0 1 0 0 1 5 0 3 0 2 6 0 0 1 7 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
"place" 2 0 1 1 5 1 3 3 8 1 1 1 1 8 1 0 4 2 2 1 1 2 1 6 3 2 3 1 0 0 2 1 1 4 1 4 1 0 1 0 2 1 0 2 4 1 4 2 4 4 6 2 1 3 1 2 0 0 2 4
"well" 2 0 3 1 2 4 0 4 5 0 1 0 4 14 5 0 2 4 3 1 2 0 3 1 2 5 1 3 2 1 6 5 1 2 3 1 1 1 1 0 1 0 0 3 0 2 0 0 3 2 1 2 1 1 1 2 4 0 1 0
"author" 1 0 3 2 2 4 2 1 3 3 1 0 5 11 5 1 2 0 7 0 0 0 2 10 0 0 0 3 4 0 2 0 0 1 0 1 2 0 0 0 1 0 1 0 0 0 0 0 1 2 0 1 0 2 1 0 1 0 0 0
"difficulti" 1 0 0 2 0 3 0 2 1 1 0 1 3 6 1 0 0 1 2 0 0 0 0 0 0 3 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"success" 2 0 2 1 1 3 4 4 2 3 0 2 4 2 3 0 1 2 2 0 0 0 0 1 0 1 0 0 2 3 2 2 1 2 7 1 1 1 1 1 2 0 1 2 1 0 0 1 1 0 1 0 0 0 2 2 0 2 0 4
"full" 0 0 1 1 2 3 0 3 4 0 0 1 1 3 1 0 0 0 1 0 0 0 0 4 2 4 0 1 3 1 4 0 2 4 2 4 0 0 2 0 1 4 3 0 0 1 1 1 1 1 0 0 1 1 0 1 0 0 1 3
"improv" 0 0 2 1 3 3 0 4 4 5 2 0 2 1 1 1 0 2 0 0 0 0 1 1 1 1 0 2 0 0 5 0 0 0 1 0 0 1 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"resourc" 0 0 1 1 1 3 2 4 4 1 0 0 4 1 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 2 1 0 2 6 1 1 1 1 0 6 2 1 0 2 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0
"best" 0 0 1 3 2 3 0 9 2 3 1 1 0 7 1 2 4 5 2 0 5 6 6 3 3 2 2 7 2 1 3 1 0 4 4 0 1 0 0 0 0 0 1 2 2 0 2 3 2 4 1 1 0 4 2 0 0 0 2 1
"war" 0 0 1 1 4 2 15 13 18 7 1 0 3 3 6 0 1 6 2 12 1 4 0 5 0 3 0 7 7 0 6 0 4 14 3 3 3 1 0 2 3 5 1 4 1 3 5 2 1 1 3 2 2 1 0 2 3 0 7 4
"british" 0 0 0 0 0 0 5 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"without" 2 0 3 2 2 2 4 3 7 1 1 3 5 9 4 1 3 4 3 2 5 3 1 3 0 7 1 4 6 1 6 5 1 2 4 1 3 3 2 0 2 0 5 0 5 2 0 0 0 0 0 0 0 1 2 2 1 0 1 1
"necessari" 2 0 3 2 1 0 3 3 7 0 0 0 3 8 3 2 1 6 2 0 3 0 0 2 0 6 2 2 1 0 10 0 0 1 6 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 2 0 0 0 0 0
"great" 3 0 5 2 1 0 0 21 29 9 1 3 8 24 7 2 8 11 6 1 2 5 9 12 2 14 2 18 5 7 9 14 4 6 16 4 5 4 2 1 5 3 5 1 7 7 12 2 5 7 10 2 6 3 4 3 3 6 5 11
"import" 1 0 0 0 3 0 1 10 7 1 3 3 1 8 3 1 5 7 0 0 1 1 9 3 0 0 2 5 2 2 12 0 1 1 5 3 3 0 0 1 0 0 0 0 1 1 2 0 1 1 1 0 1 2 0 0 0 1 1 3
"union" 2 0 2 2 3 2 0 10 5 20 1 9 2 13 32 2 5 9 20 4 2 2 3 11 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 5 1 0 4 1 1 0 1 0 2 0
"made" 1 0 0 0 3 2 1 5 15 6 0 1 4 11 2 1 3 0 5 0 0 6 4 9 1 5 2 3 3 2 11 4 1 5 5 1 2 2 0 0 1 1 0 0 4 1 2 0 1 6 5 1 3 0 0 0 3 2 0 2
"equal" 2 0 3 4 3 2 1 6 13 6 1 1 5 2 10 0 3 3 3 0 1 2 4 6 1 3 2 1 2 0 1 1 6 3 0 2 1 0 0 0 5 6 3 0 0 2 1 2 2 1 0 0 2 1 1 1 7 0 1 1
"forc" 1 0 0 1 0 1 2 8 11 4 1 0 0 2 1 0 1 0 5 0 0 1 1 3 0 0 0 1 4 1 6 3 2 3 8 2 0 4 1 0 3 5 6 0 0 2 2 1 0 0 1 4 2 0 3 3 2 0 3 1
"parti" 1 0 5 0 1 0 0 3 11 7 0 0 1 12 2 0 1 2 7 2 0 0 14 1 2 5 2 8 2 0 2 5 1 1 11 6 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 1 2 1 0
"commerc" 0 0 3 3 0 2 0 3 11 2 1 0 1 0 3 1 2 1 0 0 1 4 0 2 1 2 0 2 0 0 8 1 1 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0
"year" 1 0 5 0 4 0 0 2 10 8 0 1 3 6 2 0 1 2 4 4 4 3 2 4 1 3 0 11 4 0 5 3 3 0 3 2 1 5 7 2 2 0 1 2 3 6 9 2 2 8 2 0 3 2 3 3 5 2 5 8
"whole" 0 0 3 2 1 0 0 3 9 6 0 0 3 9 7 1 1 4 4 1 0 1 3 0 1 4 0 0 0 0 1 1 2 0 0 9 1 2 0 0 0 2 3 0 0 1 0 0 1 0 1 0 1 0 2 0 0 0 3 0
"upon" 0 1 5 1 0 2 0 1 0 16 0 5 13 34 14 2 24 3 15 1 4 4 15 13 5 21 6 31 11 1 16 8 13 6 12 17 4 6 2 1 2 10 6 0 2 0 0 1 5 2 0 0 3 1 1 3 2 0 0 0
"first" 2 0 3 4 2 0 0 2 1 8 0 1 3 6 1 0 0 0 1 1 0 3 2 2 0 3 0 0 1 0 1 2 1 0 2 3 4 2 3 0 4 2 0 4 1 5 0 2 2 2 4 1 1 0 2 0 0 4 3 3
"general" 0 0 4 2 2 1 1 0 3 8 3 6 4 9 7 0 2 0 2 1 1 2 6 2 2 4 1 2 1 0 5 0 0 1 3 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"whose" 2 0 0 2 3 2 1 1 6 0 3 0 5 4 4 1 0 1 1 0 0 0 2 2 0 5 2 1 0 0 2 0 0 0 0 1 0 2 0 0 2 0 0 1 0 0 0 0 3 0 0 2 3 1 0 1 0 0 0 0
"proper" 1 1 0 1 0 0 1 3 4 0 3 1 0 7 4 1 2 2 5 1 2 1 1 1 1 3 0 3 0 0 18 1 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"servic" 1 0 3 2 1 2 1 2 0 3 3 0 1 2 0 1 2 1 5 0 0 3 5 5 2 5 6 2 0 0 0 1 1 6 2 7 0 1 1 1 0 2 1 1 0 0 0 0 0 0 0 4 0 3 1 3 1 0 2 3
"preserv" 1 0 4 3 1 1 1 8 2 3 2 7 6 8 10 1 2 4 1 0 0 0 1 3 1 2 2 5 1 2 0 0 1 4 0 2 0 1 3 0 0 0 0 1 0 0 4 1 3 4 0 2 2 0 0 0 2 0 0 0
"exercis" 1 0 1 1 3 0 0 1 0 0 0 5 0 9 9 0 2 1 4 0 1 2 0 1 2 2 1 0 1 0 6 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0
"liberti" 3 0 4 3 3 2 0 3 1 3 2 4 1 20 4 1 2 3 1 0 0 0 0 5 1 1 0 1 6 0 1 2 1 4 3 2 0 1 1 0 5 1 0 1 6 0 0 2 3 1 1 1 2 1 15 2 5 0 2 1
"express" 1 1 2 1 1 1 0 2 1 0 1 4 2 4 1 0 4 3 4 0 2 0 2 1 0 1 1 1 0 1 1 0 0 7 4 5 0 0 1 0 1 2 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 1
"must" 3 0 2 2 3 0 0 4 2 0 2 4 5 9 12 0 9 2 8 3 2 1 6 0 0 6 4 23 4 6 19 1 3 23 17 15 9 2 4 2 9 10 9 1 10 1 2 8 10 12 9 18 10 6 6 8 17 3 10 1
"continu" 1 0 2 0 0 1 0 1 6 1 2 4 1 10 4 2 2 1 5 2 0 1 1 3 0 3 0 3 2 0 4 0 0 1 11 4 0 3 1 0 4 1 0 0 0 1 3 2 2 3 3 1 0 2 0 1 1 0 0 1
"support" 0 0 4 3 2 2 2 4 6 1 1 4 3 5 5 1 1 2 2 0 0 4 2 3 0 2 7 6 2 0 2 0 1 0 10 6 2 1 0 0 3 0 0 4 0 0 1 0 3 2 0 0 0 0 2 0 1 0 3 1
"institut" 1 0 3 0 1 1 1 2 1 3 0 1 17 10 11 1 3 3 4 0 0 0 1 2 1 4 4 5 2 0 2 0 0 0 1 4 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 1
"hope" 2 0 1 2 0 1 0 0 1 4 2 0 9 4 2 3 8 1 3 2 1 0 1 2 1 4 2 1 1 0 11 2 1 6 7 5 1 2 3 1 4 9 8 4 4 5 2 2 4 5 8 3 2 2 7 3 3 1 3 2
"experi" 2 0 3 2 3 0 0 4 4 2 1 1 9 3 2 1 6 2 1 0 0 1 0 4 0 1 0 4 1 2 1 0 0 4 5 1 1 1 2 0 2 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"look" 0 0 0 2 1 2 0 3 0 2 1 0 9 3 1 2 3 0 0 1 1 2 1 0 0 4 0 0 0 0 4 6 0 0 1 0 0 0 1 0 1 0 1 0 3 1 0 0 2 4 2 0 1 0 1 1 0 2 4 1
"never" 2 0 1 1 0 1 2 3 2 0 1 2 8 11 0 0 4 6 7 0 1 1 1 3 1 2 0 1 0 1 4 1 1 12 5 0 2 1 1 1 2 3 2 3 1 0 0 2 3 3 1 0 3 5 1 2 2 6 3 9
