"1789-Washington" "1793-Washington" "1797-Adams" "1801-Jefferson" "1805-Jefferson" "1809-Madison" "1813-Madison" "1817-Monroe" "1821-Monroe" "1825-Adams" "1829-Jackson" "1833-Jackson" "1837-VanBuren" "1841-Harrison" "1845-Polk" "1849-Taylor" "1853-Pierce" "1857-Buchanan" "1861-Lincoln" "1865-Lincoln" "1869-Grant" "1873-Grant" "1877-Hayes" "1881-Garfield" "1885-Cleveland" "1889-Harrison" "1893-Cleveland" "1897-McKinley" "1901-McKinley" "1905-Roosevelt" "1909-Taft" "1913-Wilson" "1917-Wilson" "1921-Harding" "1925-Coolidge" "1929-Hoover" "1933-Roosevelt" "1937-Roosevelt" "1941-Roosevelt" "1945-Roosevelt" "1949-Truman" "1953-Eisenhower" "1957-Eisenhower" "1961-Kennedy" "1965-Johnson" "1969-Nixon" "1973-Nixon" "1977-Carter" "1981-Reagan" "1985-Reagan" "1989-Bush" "1993-Clinton" "1997-Clinton" "2001-Bush" "2005-Bush" "2009-Obama" "2013-Obama" "2017-Trump" "2021-Biden" "2025-Trump"
"execut" 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 2 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nation" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"peopl" 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"unit" 2 0 4 1 3 0 0 1 5 1 0 0 1 0 0 0 0 0 1 0 0 0 2 2 1 5 0 3 5 0 6 1 2 11 2 2 2 3 0 0 2 0 0 1 1 2 1 0 2 1 0 1 0 1 1 1 0 1 0 5
"sinc" 1 0 0 0 0 0 2 1 2 1 0 0 3 3 0 1 0 1 0 0 1 3 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"natur" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"just" 2 0 1 1 1 0 0 1 0 0 0 1 1 3 0 3 2 2 0 0 1 2 0 1 0 2 1 1 1 2 1 3 1 0 1 0 4 5 4 2 0 3 1 2 4 2 1 1 6 5 9 0 3 2 7 5 0 4 12 7
"circumst" 5 1 4 0 3 2 1 5 3 1 2 2 8 5 4 1 5 5 5 1 0 3 2 2 0 2 2 6 1 0 4 0 1 1 1 1 3 1 2 0 0 0 0 1 0 0 1 0 3 0 0 0 0 1 0 0 0 0 1 0
"care" 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 1 2
"liberti" 4 0 1 6 1 2 2 2 6 4 0 0 6 29 19 0 5 3 15 2 4 4 5 4 2 1 1 6 0 1 8 2 0 7 11 3 3 4 0 1 1 5 2 1 5 7 5 2 8 14 2 1 10 1 9 2 6 9 15 7
"happi" 4 0 0 0 1 0 1 3 0 3 1 2 5 9 6 0 2 0 4 0 0 0 1 2 0 0 0 0 3 1 7 2 1 0 2 0 4 1 1 0 0 1 0 4 2 2 0 0 2 3 8 1 2 0 1 2 0 1 1 1
"great" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 3 0 2 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0
"good" 5 1 10 4 5 5 6 11 8 10 2 3 17 25 19 6 6 9 3 0 8 8 20 2 4 7 4 15 3 1 12 1 0 5 20 9 1 3 1 1 11 7 1 4 1 1 3 1 3 1 3 1 0 9 8 2 7 12 4 17
"less" 2 0 0 2 3 2 1 1 6 0 3 0 5 4 4 1 0 1 1 0 0 0 2 2 0 5 2 1 0 0 2 0 0 0 0 1 0 2 0 0 2 0 0 1 0 0 0 0 3 0 0 2 3 1 0 1 0 0 0 0
"deliber" 2 1 1 1 0 0 1 0 0 1 0 0 0 0 0 1 2 1 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 1 0 0 3 1 0 1 0 1 0 0 9 0 0 0 2 1 2 1 0 1 0 1 1 0 1
"establish" 9 0 9 3 6 5 1 7 3 3 5 3 9 26 12 2 14 6 28 0 3 4 2 13 2 5 9 13 2 2 18 4 5 11 26 17 11 9 0 3 16 6 9 9 5 17 14 13 7 6 11 6 8 6 7 13 7 1 16 2
"depart" 2 0 1 1 0 1 2 3 2 0 1 2 8 11 0 0 4 6 7 0 1 1 1 3 1 2 0 1 0 1 4 1 1 12 5 0 2 1 1 1 2 3 2 3 1 0 0 2 3 3 1 0 3 5 1 2 2 6 3 9
"recommend" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 2 1 3 0
"measur" 1 0 2 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"shall" 2 0 5 2 1 0 0 0 1 0 0 0 0 3 0 1 0 3 1 0 0 0 1 1 1 3 1 2 1 0 0 1 1 1 1 1 0 0 0 0 0 2 2 1 0 1 0 1 3 2 6 0 0 2 2 0 1 1 4 4
"object" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0
"far" 1 0 0 1 0 0 0 0 0 0 0 0 1 0 3 1 0 0 1 0 0 1 1 0 1 0 2 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 1 0 0 0 0
"must" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hous" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"repres" 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"event" 2 0 1 2 0 1 0 0 1 4 2 0 9 4 2 3 8 1 3 2 1 0 1 2 1 4 2 1 1 0 11 2 1 6 7 5 1 2 3 1 4 9 8 4 4 5 2 2 4 5 8 3 2 2 7 3 3 1 3 2
"order" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"day" 1 0 0 1 1 1 0 0 5 0 0 1 0 2 0 1 1 1 4 0 0 0 2 1 0 1 0 0 0 0 0 1 0 1 2 0 1 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1 1 0 0
"summon" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"whose" 2 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1
"voic" 1 0 5 0 4 0 0 2 10 8 0 1 3 6 2 0 1 2 4 4 4 3 2 4 1 3 0 11 4 0 5 3 3 0 3 2 1 5 7 2 2 0 1 2 3 6 9 2 2 8 2 0 3 2 3 3 5 2 5 8
"never" 2 0 0 0 1 2 2 2 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"love" 9 0 5 2 4 2 5 14 13 5 1 0 20 13 11 1 9 5 4 2 6 1 6 4 5 5 9 12 3 3 8 8 0 4 4 3 4 4 3 0 2 4 0 2 6 0 7 0 2 5 1 3 11 6 10 8 7 7 2 9
"retreat" 2 0 3 2 1 0 3 3 7 0 0 0 3 8 3 2 1 6 2 0 3 0 0 2 0 6 2 2 1 0 10 0 0 1 6 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 2 0 0 0 0 0
"hope" 2 0 3 1 2 4 0 4 5 0 1 0 4 14 5 0 2 4 3 1 2 0 3 1 2 5 1 3 2 1 6 5 1 2 3 1 1 1 1 0 1 0 0 3 0 2 0 0 3 2 1 2 1 1 1 2 4 0 1 0
"immut" 1 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"declin" 1 0 0 0 0 0 0 1 1 0 0 0 0 3 2 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"render" 1 0 0 0 3 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0
"necessari" 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"well" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"trust" 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"call" 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 4 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1 2 1 0 1 1
"suffici" 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"awaken" 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 2 1 1 0 1 3 0 1 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"qualif" 1 0 1 1 0 0 0 1 2 1 0 0 1 5 1 1 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 3 1 1 0 0 0 0 0 0 0 2 0 3 2 2 1 0 1 0 0 5 1 0 2 0 0 0
"administr" 1 0 3 0 6 1 0 5 8 6 1 2 7 11 5 1 7 7 5 1 0 3 7 6 4 4 1 6 3 0 8 1 3 1 4 3 5 3 2 1 4 5 6 2 4 7 7 5 9 13 9 7 13 7 8 6 11 2 4 5
"peculiar" 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dare" 1 0 0 2 0 3 0 2 1 1 0 1 3 6 1 0 0 1 2 0 0 0 0 0 0 3 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"might" 2 0 0 4 2 2 1 4 4 2 2 0 6 4 0 1 3 2 2 1 2 1 3 1 3 1 1 3 1 0 0 1 0 0 0 1 2 0 0 0 0 2 0 0 1 0 1 2 0 2 0 0 1 2 1 2 0 0 1 2
"affect" 2 1 1 3 3 1 3 3 3 2 1 2 2 7 0 3 3 1 1 1 0 3 2 0 1 3 1 2 0 1 4 1 0 7 0 2 2 2 1 0 0 3 3 4 2 2 0 0 5 2 2 5 1 6 2 2 1 0 3 1
"former" 2 0 1 0 1 0 1 2 2 1 0 0 2 3 0 2 2 1 0 0 0 0 0 1 0 3 1 2 1 0 4 0 0 0 3 1 0 1 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0
"instanc" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confid" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"fellow" 1 0 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"consult" 4 1 3 5 10 0 3 9 14 3 2 3 7 27 10 1 3 5 6 0 4 1 8 5 10 6 7 7 0 1 5 0 3 1 4 11 1 2 1 1 1 6 0 5 4 1 1 0 3 6 3 2 8 10 7 1 8 4 1 8
"judg" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"share" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"impress" 2 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"station" 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"first" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"offici" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"supplic" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"rule" 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"presid" 3 0 1 1 2 0 3 4 0 3 1 0 3 0 3 0 0 3 2 0 0 0 0 0 0 2 1 2 0 0 2 2 0 1 5 0 2 1 0 0 1 2 0 0 2 1 2 1 0 0 0 0 1 0 1 0 0 0 0 1
"providenti" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"human" 5 0 3 2 8 3 1 9 6 9 3 4 5 16 16 6 5 5 4 0 1 1 4 6 5 13 3 11 4 3 8 3 4 3 5 3 4 1 0 0 2 1 1 0 0 0 0 1 0 0 1 0 0 4 4 2 2 0 2 2
"state" 1 0 0 1 1 2 1 1 3 2 1 0 2 4 1 3 1 3 2 1 2 7 3 2 5 5 1 4 5 1 1 0 0 13 2 6 1 2 1 1 1 0 0 1 0 1 1 0 0 0 1 3 1 6 0 1 0 1 2 1
"success" 2 1 3 3 1 0 1 4 2 4 0 2 0 4 6 1 6 3 6 0 1 1 4 7 2 4 0 3 2 0 10 1 0 6 4 5 0 0 0 0 1 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 4
"privat" 2 0 0 0 0 1 0 3 3 2 1 0 2 1 1 0 0 0 1 1 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"assur" 1 0 1 1 0 1 0 2 0 1 0 0 3 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 3 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sentiment" 1 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"advanc" 1 0 0 1 0 0 0 1 4 2 1 0 3 0 1 2 1 0 1 2 0 0 1 1 1 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 2 0 1 0 0 0 0 0 0 2 0 0 0 0
"charact" 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"seem" 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0
"system" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"tranquil" 1 0 3 3 1 0 1 6 1 3 2 0 4 3 2 2 3 2 4 0 3 1 2 2 3 3 2 4 7 1 2 0 0 0 6 5 1 2 4 1 4 14 0 2 5 1 4 2 3 3 2 2 1 3 2 3 2 0 3 2
"communiti" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"without" 1 0 0 0 3 0 0 0 2 0 0 0 0 1 4 0 1 1 1 0 3 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1
"humbl" 3 0 1 1 3 2 1 10 5 2 3 2 7 4 7 2 4 2 0 2 1 0 2 0 1 6 3 2 1 2 5 1 3 3 0 1 0 1 1 1 3 2 0 1 1 1 6 5 3 1 3 1 2 2 3 4 5 1 5 3
"futur" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"bless" 3 0 0 0 1 2 0 3 5 1 0 1 5 7 1 0 3 0 3 0 0 1 2 0 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"influenc" 2 0 1 1 2 1 2 4 4 0 0 0 4 11 2 0 2 3 3 1 0 1 0 0 0 3 0 1 0 0 3 2 0 0 3 0 0 0 0 0 1 1 0 0 0 0 0 2 1 1 2 1 1 0 0 2 0 0 1 0
"free" 2 0 0 1 1 0 0 3 4 0 0 1 3 3 1 2 2 0 3 0 0 0 0 0 0 1 0 1 0 0 3 0 1 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1
"articl" 4 2 3 1 2 0 0 4 6 3 3 0 3 27 8 5 0 2 5 0 3 4 1 4 4 8 2 7 11 0 9 0 0 1 0 3 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 2
"expedi" 1 0 0 1 0 0 0 0 0 0 2 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 2 3 0 3 3 8 0 1 4 1 3 0 1 1 0 0 0 3 0 1 0 1 0 1 1 1 3 2 2 0 1 0
"subject" 1 0 1 2 0 0 0 5 5 1 0 0 2 10 2 1 3 4 5 0 0 0 0 2 1 1 1 2 0 3 5 2 0 1 12 3 1 1 0 0 0 0 2 1 1 0 1 0 4 4 3 2 1 2 0 1 0 1 8 6
"constitut" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"power" 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0
"given" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"place" 2 0 0 0 1 0 0 1 1 0 0 0 0 8 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"particular" 2 1 0 0 0 0 0 0 4 0 0 0 4 5 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"honor" 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
