"1789-Washington" "1793-Washington" "1797-Adams" "1801-Jefferson" "1805-Jefferson" "1809-Madison" "1813-Madison" "1817-Monroe" "1821-Monroe" "1825-Adams" "1829-Jackson" "1833-Jackson" "1837-VanBuren" "1841-Harrison" "1845-Polk" "1849-Taylor" "1853-Pierce" "1857-Buchanan" "1861-Lincoln" "1865-Lincoln" "1869-Grant" "1873-Grant" "1877-Hayes" "1881-Garfield" "1885-Cleveland" "1889-Harrison" "1893-Cleveland" "1897-McKinley" "1901-McKinley" "1905-Roosevelt" "1909-Taft" "1913-Wilson" "1917-Wilson" "1921-Harding" "1925-Coolidge" "1929-Hoover" "1933-Roosevelt" "1937-Roosevelt" "1941-Roosevelt" "1945-Roosevelt" "1949-Truman" "1953-Eisenhower" "1957-Eisenhower" "1961-Kennedy" "1965-Johnson" "1969-Nixon" "1973-Nixon" "1977-Carter" "1981-Reagan" "1985-Reagan" "1989-Bush" "1993-Clinton" "1997-Clinton" "2001-Bush" "2005-Bush" "2009-Obama" "2013-Obama" "2017-Trump" "2021-Biden" "2025-Trump"
"execut" 4 2 3 1 2 0 0 4 6 3 3 0 3 27 8 5 0 2 5 0 3 4 1 4 4 8 2 7 11 0 9 0 0 1 0 3 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 2
"nation" 4 0 24 4 6 10 7 18 14 21 6 2 10 9 13 3 18 12 10 4 9 6 12 20 7 14 8 7 12 9 13 7 14 18 21 23 15 12 17 1 27 11 18 8 13 9 15 15 12 11 12 5 15 14 13 15 9 13 16 23
"peopl" 4 1 20 2 0 1 3 15 11 7 4 9 20 38 16 3 6 13 20 0 2 7 9 21 18 29 22 25 12 6 7 2 8 12 16 18 8 11 9 2 21 18 15 2 9 15 6 7 9 17 7 12 11 1 7 8 11 10 9 8
"unit" 4 1 3 2 1 3 5 13 16 2 1 4 3 12 13 2 3 8 5 0 3 0 8 9 2 0 2 12 9 0 6 0 4 2 2 2 2 5 3 0 10 4 2 4 0 2 0 2 2 2 3 0 0 3 7 2 2 4 4 8
"sinc" 4 0 1 0 1 0 0 0 8 5 1 1 1 4 2 0 0 3 1 0 0 1 0 2 0 0 0 4 2 0 2 0 2 1 2 0 0 0 1 0 1 1 0 1 0 2 1 0 0 1 2 1 0 1 0 0 0 0 0 0
"natur" 3 0 1 1 2 0 3 4 0 3 1 0 3 0 3 0 0 3 2 0 0 0 0 0 0 2 1 2 0 0 2 2 0 1 5 0 2 1 0 0 1 2 0 0 2 1 2 1 0 0 0 0 1 0 1 0 0 0 0 1
"just" 3 0 1 1 3 2 1 10 5 2 3 2 7 4 7 2 4 2 0 2 1 0 2 0 1 6 3 2 1 2 5 1 3 3 0 1 0 1 1 1 3 2 0 1 1 1 6 5 3 1 3 1 2 2 3 4 5 1 5 3
"circumst" 3 0 0 0 1 2 0 3 5 1 0 1 5 7 1 0 3 0 3 0 0 1 2 0 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"care" 3 0 0 1 0 1 0 1 1 0 2 0 2 3 6 3 0 0 1 1 2 0 2 0 2 3 0 4 3 2 2 1 0 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 2 2 2 1 0 3 5 0 2 0
"liberti" 3 0 4 3 3 2 0 3 1 3 2 4 1 20 4 1 2 3 1 0 0 0 0 5 1 1 0 1 6 0 1 2 1 4 3 2 0 1 1 0 5 1 0 1 6 0 0 2 3 1 1 1 2 1 15 2 5 0 2 1
"happi" 3 0 5 5 2 2 0 7 2 2 0 4 6 1 10 0 2 3 0 0 1 0 2 0 1 2 0 1 1 1 1 0 0 2 0 2 1 2 0 0 1 0 0 0 1 0 0 0 2 0 0 1 1 0 0 1 4 0 0 0
"great" 3 0 5 2 1 0 0 21 29 9 1 3 8 24 7 2 8 11 6 1 2 5 9 12 2 14 2 18 5 7 9 14 4 6 16 4 5 4 2 1 5 3 5 1 7 7 12 2 5 7 10 2 6 3 4 3 3 6 5 11
"good" 3 0 6 5 4 1 1 1 5 0 3 3 2 5 2 1 5 2 4 0 2 4 3 4 4 5 3 2 2 3 3 3 1 5 2 2 4 8 0 0 2 4 2 3 0 5 1 2 1 1 9 0 2 3 4 3 0 3 5 0
"less" 3 0 1 1 2 0 2 7 3 1 0 0 2 3 2 1 2 2 2 2 1 2 1 1 1 4 2 1 3 1 1 0 1 2 3 0 1 0 1 0 0 1 4 0 0 0 1 0 1 1 1 3 3 1 0 7 0 0 0 0
"deliber" 3 0 1 0 0 1 0 0 0 2 0 0 1 2 0 0 1 0 2 0 0 0 1 0 0 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"establish" 3 0 3 0 1 1 0 1 4 2 1 0 4 3 1 1 0 0 1 0 0 1 3 3 1 6 1 2 5 0 2 0 0 5 2 4 1 2 1 0 3 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 3
"depart" 3 0 0 0 0 2 0 3 2 3 0 0 0 14 4 1 2 2 2 0 2 0 1 1 0 4 0 0 1 0 6 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"recommend" 3 0 3 0 0 0 0 1 2 2 0 1 0 5 1 2 0 0 1 0 1 2 1 0 0 0 0 1 1 0 6 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"measur" 3 0 2 1 4 0 0 1 8 0 1 1 1 9 3 3 2 1 0 0 1 0 3 1 1 1 1 0 0 1 2 0 0 0 0 1 5 0 5 0 1 0 0 0 0 1 1 0 1 0 1 1 0 0 1 2 1 0 2 1
"shall" 3 3 4 6 7 0 0 6 6 4 6 3 5 10 11 15 9 18 17 5 1 3 4 8 10 18 4 12 7 2 12 6 9 8 2 4 7 5 1 7 5 11 2 5 3 4 7 0 1 2 0 1 2 0 0 3 0 0 2 0
"object" 3 0 3 1 1 0 1 5 6 2 1 3 3 7 13 3 4 2 8 1 1 0 1 1 1 0 1 0 1 0 2 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1
"far" 3 0 1 1 0 1 0 2 1 2 1 0 4 8 5 1 3 1 3 0 2 3 1 4 0 0 2 4 1 0 4 0 1 0 0 2 0 2 1 1 0 2 2 2 0 2 1 0 1 0 1 0 1 0 0 2 0 1 2 1
"must" 3 0 2 2 3 0 0 4 2 0 2 4 5 9 12 0 9 2 8 3 2 1 6 0 0 6 4 23 4 6 19 1 3 23 17 15 9 2 4 2 9 10 9 1 10 1 2 8 10 12 9 18 10 6 6 8 17 3 10 1
"hous" 2 0 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1
"repres" 2 0 3 1 0 1 0 1 2 2 0 1 1 5 0 0 0 0 0 0 0 2 1 0 0 1 1 1 1 0 0 1 0 4 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"event" 2 0 0 0 1 0 0 4 4 1 0 3 4 0 0 0 0 4 2 0 0 3 1 0 0 1 0 2 2 0 0 0 1 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1
"order" 2 0 4 1 3 0 0 1 5 1 0 0 1 0 0 0 0 0 1 0 0 0 2 2 1 5 0 3 5 0 6 1 2 11 2 2 2 3 0 0 2 0 0 1 1 2 1 0 2 1 0 1 0 1 1 1 0 1 0 5
"day" 2 0 1 1 1 0 0 1 0 0 0 1 1 3 0 3 2 2 0 0 1 2 0 1 0 2 1 1 1 2 1 3 1 0 1 0 4 5 4 2 0 3 1 2 4 2 1 1 6 5 9 0 3 2 7 5 0 4 12 7
"summon" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 3 0 2 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0
"whose" 2 0 0 2 3 2 1 1 6 0 3 0 5 4 4 1 0 1 1 0 0 0 2 2 0 5 2 1 0 0 2 0 0 0 0 1 0 2 0 0 2 0 0 1 0 0 0 0 3 0 0 2 3 1 0 1 0 0 0 0
"voic" 2 1 1 1 0 0 1 0 0 1 0 0 0 0 0 1 2 1 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 1 0 0 3 1 0 1 0 1 0 0 9 0 0 0 2 1 2 1 0 1 0 1 1 0 1
"never" 2 0 1 1 0 1 2 3 2 0 1 2 8 11 0 0 4 6 7 0 1 1 1 3 1 2 0 1 0 1 4 1 1 12 5 0 2 1 1 1 2 3 2 3 1 0 0 2 3 3 1 0 3 5 1 2 2 6 3 9
"love" 2 0 5 2 1 0 0 0 1 0 0 0 0 3 0 1 0 3 1 0 0 0 1 1 1 3 1 2 1 0 0 1 1 1 1 1 0 0 0 0 0 2 2 1 0 1 0 1 3 2 6 0 0 2 2 0 1 1 4 4
"retreat" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0
"hope" 2 0 1 2 0 1 0 0 1 4 2 0 9 4 2 3 8 1 3 2 1 0 1 2 1 4 2 1 1 0 11 2 1 6 7 5 1 2 3 1 4 9 8 4 4 5 2 2 4 5 8 3 2 2 7 3 3 1 3 2
"immut" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"declin" 2 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1
"render" 2 0 0 0 1 2 2 2 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"necessari" 2 0 3 2 1 0 3 3 7 0 0 0 3 8 3 2 1 6 2 0 3 0 0 2 0 6 2 2 1 0 10 0 0 1 6 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 2 0 0 0 0 0
"well" 2 0 3 1 2 4 0 4 5 0 1 0 4 14 5 0 2 4 3 1 2 0 3 1 2 5 1 3 2 1 6 5 1 2 3 1 1 1 1 0 1 0 0 3 0 2 0 0 3 2 1 2 1 1 1 2 4 0 1 0
"trust" 2 0 0 4 2 2 1 4 4 2 2 0 6 4 0 1 3 2 2 1 2 1 3 1 3 1 1 3 1 0 0 1 0 0 0 1 2 0 0 0 0 2 0 0 1 0 1 2 0 2 0 0 1 2 1 2 0 0 1 2
"call" 2 1 1 3 3 1 3 3 3 2 1 2 2 7 0 3 3 1 1 1 0 3 2 0 1 3 1 2 0 1 4 1 0 7 0 2 2 2 1 0 0 3 3 4 2 2 0 0 5 2 2 5 1 6 2 2 1 0 3 1
"suffici" 2 0 1 0 1 0 1 2 2 1 0 0 2 3 0 2 2 1 0 0 0 0 0 1 0 3 1 2 1 0 4 0 0 0 3 1 0 1 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0
"awaken" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"qualif" 2 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"administr" 2 1 3 3 1 0 1 4 2 4 0 2 0 4 6 1 6 3 6 0 1 1 4 7 2 4 0 3 2 0 10 1 0 6 4 5 0 0 0 0 1 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 4
"peculiar" 2 0 0 0 0 1 0 3 3 2 1 0 2 1 1 0 0 0 1 1 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dare" 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0
"might" 2 0 1 1 2 1 2 4 4 0 0 0 4 11 2 0 2 3 3 1 0 1 0 0 0 3 0 1 0 0 3 2 0 0 3 0 0 0 0 0 1 1 0 0 0 0 0 2 1 1 2 1 1 0 0 2 0 0 1 0
"affect" 2 0 0 1 1 0 0 3 4 0 0 1 3 3 1 2 2 0 3 0 0 0 0 0 0 1 0 1 0 0 3 0 1 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1
"former" 2 0 0 0 1 0 0 1 1 0 0 0 0 8 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"instanc" 2 1 0 0 0 0 0 0 4 0 0 0 4 5 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confid" 2 1 1 4 2 3 2 2 4 3 1 3 10 12 3 3 5 1 2 0 0 0 1 1 2 2 5 3 1 2 0 0 1 7 2 3 2 1 0 1 1 1 1 0 0 1 3 2 0 1 0 1 0 1 3 2 0 1 0 3
"fellow" 2 1 0 5 8 0 0 0 9 3 2 3 6 0 4 0 0 1 0 0 0 0 4 0 2 0 1 1 0 1 2 0 2 0 1 0 2 0 0 2 1 2 0 4 4 2 1 0 3 3 2 5 7 1 3 1 3 1 5 1
"consult" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"judg" 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0
"share" 2 0 0 0 0 0 1 0 0 0 1 1 0 3 0 1 0 1 0 0 1 2 0 1 3 0 0 1 0 0 0 0 0 2 2 2 0 0 0 0 1 0 3 1 1 5 4 1 3 0 2 0 0 3 0 0 0 2 0 0
"impress" 2 0 0 0 0 1 1 0 1 0 0 2 2 0 1 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"station" 2 0 1 1 1 1 1 2 0 2 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"first" 2 0 3 4 2 0 0 2 1 8 0 1 3 6 1 0 0 0 1 1 0 3 2 2 0 3 0 0 1 0 1 2 1 0 2 3 4 2 3 0 4 2 0 4 1 5 0 2 2 2 4 1 1 0 2 0 0 4 3 3
"offici" 2 1 0 0 0 0 0 1 0 0 1 1 0 0 3 0 1 1 2 0 0 0 1 0 2 2 1 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"supplic" 2 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"rule" 2 0 1 2 1 0 0 0 1 0 1 0 2 2 1 0 0 1 2 0 2 2 1 0 1 1 5 1 0 0 3 0 1 1 2 1 1 0 0 0 1 4 3 0 0 0 1 1 0 0 1 0 0 0 3 1 3 1 0 1
"presid" 2 1 0 0 0 0 0 0 0 0 0 1 1 16 2 3 1 1 2 0 1 0 4 0 1 4 0 6 1 0 1 1 0 1 1 0 1 2 1 1 1 0 1 4 0 3 1 3 6 3 7 3 1 3 4 1 2 5 7 10
"providenti" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"human" 2 0 4 0 3 1 2 0 2 5 1 0 4 2 4 0 4 2 2 0 0 1 2 0 1 0 2 0 1 0 0 4 0 7 9 6 1 2 6 1 6 2 2 4 0 2 2 6 1 9 0 0 5 2 6 1 1 0 0 2
"state" 2 0 12 3 12 5 5 29 27 8 4 9 11 41 42 3 11 27 27 0 4 4 12 16 4 26 3 12 9 0 17 0 2 2 5 7 4 5 4 0 7 1 0 3 0 1 0 1 5 4 3 0 0 0 5 2 2 2 2 11
"success" 2 0 2 1 1 3 4 4 2 3 0 2 4 2 3 0 1 2 2 0 0 0 0 1 0 1 0 0 2 3 2 2 1 2 7 1 1 1 1 1 2 0 1 2 1 0 0 1 1 0 1 0 0 0 2 2 0 2 0 4
"privat" 2 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 1 2 3 2 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1
"assur" 2 0 0 0 0 1 1 0 0 0 0 0 1 3 0 1 4 0 1 0 0 1 2 0 1 0 1 0 2 1 2 0 0 3 1 0 2 0 0 0 1 1 0 2 0 1 0 0 2 1 0 0 0 0 0 1 0 0 1 0
"sentiment" 2 0 1 0 1 1 1 2 0 4 1 0 4 0 1 0 2 0 3 0 1 0 4 0 0 0 2 2 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"advanc" 2 0 0 3 2 2 1 2 1 2 1 1 0 3 1 1 4 0 0 0 0 1 1 0 1 1 1 2 0 0 1 0 0 1 4 12 1 2 1 0 4 0 0 0 1 1 0 0 0 0 1 0 2 1 3 2 2 0 0 0
"charact" 2 0 1 1 2 0 1 1 1 1 1 1 4 19 3 1 1 2 0 0 0 0 1 0 0 2 2 1 0 1 1 1 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 4 4 1 1 0 0 0
"seem" 2 0 0 0 0 0 0 2 1 0 1 0 0 4 3 0 0 0 2 2 1 1 1 0 0 1 2 1 0 0 1 0 1 1 1 1 0 0 3 2 0 2 0 0 1 0 1 1 0 0 3 0 3 2 0 0 0 0 0 1
"system" 2 0 3 0 0 1 0 2 5 1 2 1 4 8 11 0 2 1 0 0 0 0 2 2 1 1 1 5 0 0 2 4 0 3 4 11 1 1 0 0 0 0 0 0 0 0 4 1 3 4 1 0 0 0 0 1 0 1 1 3
"tranquil" 2 0 1 0 1 1 0 0 0 2 0 0 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"communiti" 2 0 0 0 0 0 0 3 1 0 0 2 3 2 2 0 0 1 1 0 0 0 0 2 0 10 0 1 0 0 3 0 1 0 0 3 0 1 0 1 0 2 0 0 0 1 2 0 0 1 1 3 3 4 1 0 0 0 0 2
"without" 2 0 3 2 2 2 4 3 7 1 1 3 5 9 4 1 3 4 3 2 5 3 1 3 0 7 1 4 6 1 6 5 1 2 4 1 3 3 2 0 2 0 5 0 5 2 0 0 0 0 0 0 0 1 2 2 1 0 1 1
"humbl" 2 0 1 1 0 0 0 0 1 1 1 1 2 0 1 0 1 3 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 2 0 0 1 0
"futur" 2 0 1 1 2 1 0 1 3 4 0 0 2 2 1 0 7 1 0 1 1 3 0 2 1 2 0 2 2 2 3 0 1 2 1 1 1 1 3 0 2 4 1 0 1 1 3 2 3 2 3 1 3 1 2 3 4 1 3 2
"bless" 2 0 2 1 1 1 0 5 0 5 0 1 3 2 6 1 3 4 0 0 0 0 3 6 2 0 0 1 1 1 0 0 0 1 0 1 1 2 0 1 0 0 2 1 0 1 0 0 2 4 3 1 3 3 1 2 2 2 1 1
"influenc" 2 0 2 0 2 1 0 1 1 0 0 0 2 11 1 0 5 2 0 0 1 4 2 2 1 2 2 1 0 0 4 0 4 2 3 3 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0
"free" 2 0 2 3 1 2 1 3 2 0 2 0 2 11 12 0 1 9 2 0 1 1 3 3 1 7 4 10 3 2 3 0 3 1 3 1 0 1 3 0 11 21 5 5 1 2 0 1 3 3 9 1 3 1 7 2 3 1 0 4
"articl" 2 0 0 0 2 0 0 0 2 1 0 0 0 1 2 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"expedi" 2 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"subject" 2 1 1 0 0 0 0 1 3 0 2 1 5 11 4 0 5 4 3 0 2 4 6 4 1 3 2 4 0 1 7 0 0 1 2 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1
"constitut" 2 2 9 3 6 1 0 8 0 12 3 5 6 45 19 6 13 17 34 1 3 1 9 19 8 14 4 3 4 0 5 0 0 2 7 1 4 2 2 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 3 2
"power" 2 0 6 5 5 2 3 7 24 10 8 7 10 67 27 3 14 12 4 1 0 3 3 11 4 10 7 7 4 5 6 1 7 0 5 4 3 10 0 0 2 4 5 9 0 1 2 2 2 3 3 5 5 4 3 5 4 4 5 9
"given" 2 0 0 0 0 1 1 1 0 0 0 0 2 11 1 0 0 1 4 0 0 1 0 2 0 3 2 4 1 1 4 1 1 0 2 3 2 0 0 2 0 1 1 0 1 1 0 2 0 1 1 0 0 0 1 1 0 0 0 2
"place" 2 0 1 1 5 1 3 3 8 1 1 1 1 8 1 0 4 2 2 1 1 2 1 6 3 2 3 1 0 0 2 1 1 4 1 4 1 0 1 0 2 1 0 2 4 1 4 2 4 4 6 2 1 3 1 2 0 0 2 4
"particular" 2 0 2 0 0 0 0 2 0 0 1 0 1 4 0 1 1 1 3 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"honor" 2 1 7 2 1 3 4 4 3 1 2 0 4 3 5 3 2 1 0 0 2 1 2 1 0 5 1 3 6 0 2 0 0 0 2 0 1 0 0 3 1 5 7 0 0 2 1 1 0 1 0 0 0 2 5 1 0 0 3 3
